	weight	wr
338	89.6	53.7
339	94.3	62
340	99	64.9
341	101.6	70.8
342	102.6	85.5
343	100.5	64.7
344	101	59.4
345	100	97.5
346	100	107.7
347	101.4	109.2
348	101.4	94.9
349	100	103
350	102.3	102.2
351	103.7	111.6
352	102.8	110.3
353	100.9	71.8
354	87	89.1
355	105.6	106.4
356	105.1	118.8
357	104.7	120.1
358	100.9	98.4
359	100	96.8
360	98.7	100.1
361	99.1	92.9
362	101.8	107
363	101.8	106.8
364	102.2	105.9
365	98.7	106.3
366	99.6	99.2
367	100	104.6
368	99.1	108.2
369	100	104.7
370	99.1	112.4
371	98.2	104
372	99.1	100.7
373	100	92.2
374	99.1	111
375	99.1	119.3
376	100.9	106.2
377	97.8	102.1
378	100.4	74.5
379	97.3	98.2
380	98.7	104.6
381	100.4	94.6
382	102.2	89.8
383	100.4	92.3
384	100.9	104.3
385	99.6	91
386	100	93.3
387	100	103.8
388	97.3	117.1
389	100.5	96.5
390	98.6	97.1
391	97.7	100.8
392	98.2	83.3
393	99.5	105.3
394	100	92
395	99.5	82.8
396	100	91.8
397	99.1	100.9
398	98.6	128.3
399	100	78
400	99.5	85.4
401	100	79.3
402	95.4	85.7
403	102.3	90.4
404	100.9	87.8
405	98.2	92.6
406	102.3	90.8
407	99.5	89.4
408	99.1	87.5
409	99.1	84.7
410	100	94.4
411	99.5	91.1
412	98.2	94.2
413	100	90.3
414	98.6	87.4
415	100	100.8
416	100	88.4
417	101.4	123.4
418	102.7	95.1
419	101.8	84.8
420	102.7	65.9
421	101.8	94.5
422	102.7	120.2
423	103.2	79.3
424	105	96.5
425	105	82.6
426	105.9	131.4
427	104.1	80.9
428	104.5	84.7
429	100	110
430	98.6	114.3
431	100.9	119.4
432	100.9	109.3
433	98.1	80.9
434	97.7	39.3
435	90.1	42.5
436	85.9	24.4
437	82.2	19.8
438	84.5	38.9
439	99.5	60.6
440	100.9	79.8
441	106.6	92.7
442	100.9	112.1
443	100	93.5
444	100.9	97.1
445	102.4	98.2
446	100.5	99.1
447	101.9	98.5
448	103.3	90.5
449	101.4	102
450	100.5	97.6
451	101.9	99.7
452	103.3	84.4
453	103.8	89
454	105.2	98
455	104.7	107.2
456	104.2	94.9
457	100	98.5
458	99.6	94.5
459	101.3	79
460	101.3	81
461	100.4	96.1
462	101.8	55.6
463	98.7	90.4
464	101.3	90.1
465	100.9	84.8
466	102.2	96.4
467	100.4	101.7
468	99.1	88.1
469	100	85.3
470	99.6	89.7
471	100	84.9
472	99.5	111.5
473	102.8	120.9
474	100	98.2
475	100.9	95.4
476	100.9	88.4
477	99.5	115.7
478	102.8	116
479	102.3	85.1
480	102.8	89.2
481	102.8	104.1
482	102.8	126.3
483	102.3	88.5
484	104.2	88
485	100	53.9
486	102.2	88.2
487	102.2	88.5
488	103	105.7
489	101.3	75.2
490	101.3	59.3
491	103.9	69.1
492	101.7	56.7
493	104.3	56.2
494	103.5	62.5
495	102.6	50.4
496	103.5	60.9
497	104.8	105.2
498	106.1	125.7
499	100	72.6
500	98.6	95.8
501	100.5	91.9
502	102.7	93
503	99.5	90.8
504	100.9	91.5
505	97.7	96.9
506	98.6	103.5
507	94.1	110.7
508	92.7	94.8
509	92.7	84.8
510	99.5	88.8
511	95.9	86.5
512	98.2	86.6
513	100	99.8
514	102	107.6
515	99.5	107.1
516	101	97.2
517	101	85.8
518	100	74.9
519	99	78.1
520	97.4	98.7
521	105.1	114.3
522	99	79.2
523	102	82.3
524	101.5	96.3
525	102	105.9
526	101	126.1
527	100	63.8
528	99.1	70.1
529	99.5	79.4
530	100.9	89.3
531	98.1	51.5
532	100.5	53
533	100	74.1
534	100.9	109.7
535	103.3	106.5
536	98.6	84.8
537	97.7	85.7
538	101.9	96.7
539	103.7	112.9
540	103.3	117
541	100	73.6
542	101.5	94.9
543	100.5	98.7
544	104.4	96.4
545	98.5	48.3
546	98.5	33.2
547	94.6	40.9
548	90.2	39
549	92.6	55.5
550	99.5	66.5
551	101	94.4
552	105.9	121.8
553	102.5	82.2
554	104.4	83.6
555	100	67.5
556	96.2	93.2
557	98.1	78.7
558	97.2	67.9
559	97.2	64.8
560	99.5	54.2
561	91.5	34.1
562	87.3	19.8
563	84.4	24.8
564	89.6	39.3
565	95.3	49.5
566	100	64.8
567	101.9	71.6
568	100	93.8
569	100	60
570	99	83.4
571	101	74.4
572	101	93.3
573	103.4	66.4
574	98.1	21.3
575	85.1	19.9
576	86.1	11.9
577	84.6	13
578	88.9	29.2
579	94.2	32.6
580	100.5	42.9
581	101.4	58.6
582	104.8	66.3
583	100	70.3
584	97.7	80.4
585	100	90.8
586	101.4	83.1
587	101.4	65.8
588	96.7	31.2
589	95.3	31.3
590	92.5	16.9
591	94.4	23.5
592	96.7	30.9
593	100	38
594	102.8	62.4
595	101.9	64.7
596	101.9	82.7
597	100	63.7
598	95.2	57.8
599	99.5	63.7
600	101	61.1
601	100	60.4
602	99.5	66.4
603	95.7	63.2
604	93.3	68.4
605	94.2	62.1
606	97.6	61.2
607	99	62.6
608	99.5	73.5
609	101	81.8
610	100.5	78.2
611	100	92
612	96.9	91.1
613	94.3	77.3
